AT-Nr. / AT-No. ,Ref-Nr./ ID-No. * ,Hersteller / Manufacturer ,Testname / Test name ,Zielantigen / target antigen ,Cq <25 ,Cq 25-30 ,Cq >30 ,Gesamt- - Sensitvität / total sensitivity ,
AT582/21 ,n.a. ,"Guangzhou Tebsun Bio-Tech Development Co., Ltd. ",Tebsun 2019-nCoV Antigen Test Kit ,N ,"95,0% ","65,0% ","0,0% ","64,0% ",
AT583/21 ,RDC-802 ,"Zhuhai Encode Medical Engineering Co., Ltd. ",ENCODE SARS-COV-2 Antigen Rapid Test Device ,N ,"95,0% ","15,0% ","0,0% ","44,0% ",
AT587/21 ,16696722 ,FUJIFILM Corporation ,FUJIFILM COVID-19 Ag Test ,N ,"85,0% ","10,0% ","0,0% ","38,0% ",
AT593/21 ,500200 ,"Nanjing Liming Bio-Products Co., Ltd. ",StrongStep® SARS-COV2 Antigen Rapid Test ,N ,"95,0% ","80,0% ","0,0% ","70,0% ",
AT595/21 ,n.a. ,Chongqing M&D Biotechnology Co. Ltd. ,2019-nCoV Antigen Test Kit ,N ,"95,0% ","25,0% ","0,0% ","48,0% ",
AT628/21 ,COVG-602 ,Hangzhou Sejoy Electronics & Instruments Co. Ltd. ,SARS-CoV-2 Antigen Schnelltestkassette ,N ,"100,0% ","50,0% ","0,0% ","60,0% ",
AT635/21 ,n.a. ,"Chongqing ISIA BIO-Technology Co.,Ltd ",ISIA SARS-CoV-2 Antigen Rapid Test Kit ,N ,"90,0% ","15,0% ","0,0% ","42,0% ",
AT637/21 ,BT1389 ,"Innova Medical Group,Inc. ",INNOVA SARS-CoV-2 Selbsttest (Qualitativer-Antigen- Schnelltest) ,N ,"100,0% ","100,0% ","80,0% ","96,0% ",
AT678/21 ,RQ005 ,"Nanjing Synthgene Medical Technology Co., Ltd. ",Synthgene Neues Coronavirus (SARS-CoV-2) Antigen- Schnellerkennungskit (Collate Gold-Methode) ,N ,"100,0% ","35,0% ","0,0% ","54,0% ",
AT692/21 ,G10322 ,"JOYSBIO (Tianjin) Biotechnology Co.,Ltd. ",Joysbio SARS-CoV-2 Antigen rapid test kit -PRO (Colloidal Gold) ,N ,"100,0% ","35,0% ","0,0% ","54,0% ",
AT711/21 ,n.a. ,"Weihai Kangzhou Biotechnology Engineering Co., Ltd. ",Kanzone COVID-19 Antigen Rapid Test ,N ,"90,0% ","5,0% ","0,0% ","38,0% ",
AT722/21 ,SVRAG ,"Neo-nostics (Suzhou) Bioengeneering Co., Ltd. ",COVID 19 Antigen Test Kit (Colloidal Gold Method) ,N ,"100,0% ","75,0% ","10,0% ","72,0% ",
AT731/21 ,LS-C-T-009 ,"Guangdong Longsee Biomedical Co.,Inc. ",Longsee 2019-nCoV Ag Rapid Detection Kit (Immuno- Chromatography) ,N ,"100,0% ","100,0% ","100,0% ","100,0% ",
AT748/21 ,n.a. ,"Shanghai Liangrun Biomedicine Technology Co., Ltd. ",LionRun¹ TM SARS-CoV-2 Antigen Rapid Test Kit (Lateral Flow Immunoassay) ,N ,"100,0% ","85,0% ","0,0% ","74,0% ",
AT755/21 ,600008 ,"Glallergen CO., LTD. ",Novel Corona Virus (2019-nCoV) Ag Rapid Test Kit ,N ,"100,0% ","100,0% ","60,0% ","92,0% ",
AT765/21 ,n.a. ,Surge Medical Inc. ,COVID-19 Antigen Test Kit ,N ,"100,0% ","40,0% ","0,0% ","56,0% ",
AT766/21 ,INCP-502-N ,"Hangzhou AllTest Biotech Co.,Ltd. ",AllTest SARS-CoV-2 Antigen Rapid Test (Nasal Swab) ,N ,"90,0% ","20,0% ","0,0% ","44,0% ",
AT767/21 ,PCSYHN02 ,"Fosun Diagnostics (Shanghai) Co., Ltd (ehemals Shanghai Fosun Long March Medical Science Co., Ltd.) ",Fosun Covid-19 Ag Card ,N ,"100,0% ","20,0% ","0,0% ","48,0% ",
AT770/21 ,n.a. ,"Jiangxi Province JinHuan Medical Instrument Co.,LTD. ",COVID-19 antigen Schnelltest (Kolloidales Gold) / Novel Coronavirus(SARS-CoV-2) Antigen Rapid Detection Kit ,N ,"100,0% ","95,0% ","60,0% ","90,0% ",
AT785/21 ,FCB-103 ,"Anhui Formaster Biosci Co., Ltd ",New Coronavirus (COVID-19) Antigen Rapid Test ,N ,"100,0% ","50,0% ","10,0% ","62,0% ",
AT787/21 ,GMT102 ,"BioDetect (Xiamen) Biotechnology Co., Ltd ",SARS-Cov-2-Antigen-Schnelltest-Karte ,N ,"95,0% ","15,0% ","0,0% ","44,0% ",
AT789/21 ,COVID19AGVCG ,SureScreen Diagnostics Ltd. ,COVID-19 Antigen Rapid Test Cassette (Nasal Swab) ,N ,"100,0% ","20,0% ","0,0% ","48,0% ",
AT790/21 ,CP02150011 ,"Merlin Biomedical (Xiamen) Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test Cassette ,N ,"100,0% ","55,0% ","0,0% ","62,0% ",
AT791/21 ,MY28 ,Asterion Otel Insaat Bilisim Medikal Maden Tic.Ltd.Sti. ,AS-check COVID-19 Antigen Schnelltest ,N ,"85,0% ","5,0% ","0,0% ","36,0% ",
AT805/21 ,n.a. ,"Bioscience (Tianjin) Diagnostic Technology Co., Ltd ",Novel Coronavirus(2019-nCoV) Antigen Rapid Test ,N ,"100,0% ","100,0% ","60,0% ","92,0% ",
AT816/21 ,n.a. ,"Hangzhou DIAN Biotechnology Co., Ltd. ",GENEDIAN COVID-19 Antigen Test Cassette ,N ,"90,0% ","5,0% ","0,0% ","38,0% ",
AT818/21 ,P211128 ,"Hangzhou Genesis Biodetection & Biocontrol Co., Ltd. ",KaiBiLi COVID-19 Antigen Pro ,N ,"100,0% ","90,0% ","0,0% ","76,0% ",
AT820/21 ,00013C ,"Beijing O&D Biotech Co., Ltd. ",Covid-19 Antigen Rapid Test (Colloidal Gold) ,N ,"100,0% ","75,0% ","10,0% ","72,0% ",
AT821/21 ,IFC-SCoV2-AG ,"Hangzhou Zheda Dixun Biological Gene Engineering Co., Ltd. ",SARS-Cov-2 Nucleocapsid(N) Antigen Rapid Test Cassette ,N ,"100,0% ","55,0% ","0,0% ","62,0% ",
AT823/21 ,0000000168 ,MSP bodmann GmbH ,MSP SARS-CoV-2 Antigen-Schnelltest ,N ,"100,0% ","20,0% ","0,0% ","48,0% ",
AT825/21 ,n.a. ,"Hangzhou Careomedic Tech Co., Ltd. ",SARS-CoV-2-Antigen-Schnelltest ,N ,"75,0% ","0,0% ","0,0% ","30,0% ",
AT829/21 ,n.a. ,"Shenzhen Dymind Biotechnology Co., Ltd. ",SARS-CoV-2 Antigen Test Kit (Colloidal Gold) ,N ,"100,0% ","30,0% ","0,0% ","52,0% ",
AT830/21 ,n.a. ,"Suzhou Soochow University Saier Immuno Biotech Co., Ltd. ",InstantSure Covid-19 Ag CARD ,N ,"100,0% ","100,0% ","80,0% ","96,0% ",
AT839/21 ,n.a. ,"Zhongxiu Science and Technology Co., Ltd ",Neuartiges Coronavirus (2019-nCoV) Antigendetektions- reagenz (immunochromatographischer Assay) ,N ,"100,0% ","70,0% ","10,0% ","70,0% ",
AT844/21 ,RNS92048B ,"Shenzhen Reagent Technology Co., Ltd. ",SARS-CoV-2 Antigen IVD kit SWAB ,N+S ,"100,0% ","50,0% ","0,0% ","60,0% ",
AT847/21 ,COV-S31 ,"Wuxi Biohermes Bio & Medical Technology Co., Ltd. ",SARS-CoV-2 Antigen Test Kit (Lateral Flow Assay) ,N ,"100,0% ","60,0% ","0,0% ","64,0% ",
AT848/21 ,04A024 ,TBG Biotechnology Xiamen Inc. ,TBG SARS-CoV-2 Antigen Rapid Test ,N ,"95,0% ","80,0% ","10,0% ","72,0% ",
AT849/21 ,n.a. ,"Jiangsu Bioperfectus Technologies Co., Ltd. ",Novel Coronavirus (SARS-CoV-2) Ag Rapid Test Kit ,N ,"100,0% ","75,0% ","0,0% ","70,0% ",
AT857/21 ,n.a. ,"Shen Zhen Zi Jian Biotechnology Co., Ltd. ",Zijian SARS-CoV-2 (COVID-19) Antigen Rapid Detection Kit (Lateral Flow Method) ,N ,"80,0% ","10,0% ","0,0% ","36,0% ",
AT863/21 ,n.a. ,"Pro-med (Beijing) Technology Co.,Ltd. ",Pro-med COVID-19 Antigen Rapid Detection Kit ,N ,"80,0% ","5,0% ","0,0% ","34,0% ",
AT879/21 ,209.01.25.01 ,"Biohit Healthcare (Hefei) Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method) ,N ,"100,0% ","95,0% ","20,0% ","82,0% ",
AT882/21 ,n.a. ,"Jiaxing Wisetest Bio-Tech Co., Ltd. ",Saliva SARS-CoV-2 (2019-nCoV) Antigen Test Kit (Nanocarbon Assay) ,N ,"85,0% ","15,0% ","10,0% ","42,0% ",
AT883/21 ,CO-05 ,"Jiangsu Well Biotech Co., Ltd. ",COVID-19 Schnelltestgerät ,N ,"100,0% ","95,0% ","40,0% ","86,0% ",
AT889/21 ,n.a. ,CITEST Diagnostics Inc. ,COVID-19 Antigen Rapid Test (Oral Fluid) ,N ,"100,0% ","100,0% ","90,0% ","98,0% ",
AT918/21 ,SCVC02 ,SGA Mühendislik DAN. EG. Icve DIS.Ltd.STI ,V-Chek SARS-CoV-2 Rapid Ag Test Kit (Colloidal Gold) ,N ,"94,1% ","26,1% ","0,0% ","44,0% ",
AT924/21 ,C2104N01 ,Cesna Biyoteknoloji Arastirma Gelistirme Laboratuvar Sist. ,Check Up SARS-CoV-2 Nasal Antigen Rapid Test ,N ,"100,0% ","45,0% ","10,0% ","60,0% ",
AT928/21 ,CG201A ,"Shenzhen CAS-Envision Medical Technology Co., Ltd. ",SARS-Cov-2 Antigen Rapid Detection Kit ,N ,"100,0% ","100,0% ","70,0% ","94,0% ",
AT934/21 ,G-C-0104 ,"Hangzhou Zheda Dixun Biological Gene Engineering Co., Ltd. ",Bisdeal SARS-CoV-2 Antigen-Schnelltest ,N ,"100,0% ","25,0% ","0,0% ","50,0% ",
AT935/21 ,n.a. ,"Qingdao AIBO Diagnostic CO., Ltd. ",Novel Coronavirus (COVID-19) Antigen Rapid Test Kit ,N ,"100,0% ","20,0% ","0,0% ","48,0% ",
AT941/21 ,"T3701W, T3702W, T3706W ","Sichuan Xincheng Biological Co., Ltd. ",SARS-CoV-2 Antigen Assay Kit by Latex Immunochromatography method ,N ,"100,0% ","95,0% ","40,0% ","86,0% ",
AT961/21 ,n.a. ,"Hangzhou Jucheng Medical Products Co., Ltd ",SARS-CoV-2 Ag Schnelltestkit ,N ,"100,0% ","100,0% ","80,0% ","96,0% ",
AT967/21 ,P2311 ,"Beijing Homa Biological Engineering Co., Ltd. ",COVID-19 Antigen Test Kit ,N ,"100,0% ","35,0% ","0,0% ","54,0% ",
AT981/21 (AT574/21) ,ITP16010-TC25 ,"InTec Products, Inc. ",Rapid SARS-CoV-2 Antigen Test Colloidal Gold (Nasopharyngeal/Nasal specimen) ,N ,"100,0% ","95,0% ","30,0% ","84,0% ",
AT989/21 ,NBMLRS-XG-S2 ,Ningbo Beautiful Life Medical Biotechnology ,Saliva SARS-CoV-2(2019-nCoV) Antigen Test Kit (Nanocarbon Assay) ,N ,"100,0% ","35,0% ","0,0% ","54,0% ",
AT997/21 ,FP-318 ,"Wuhan HealthCare Biotechnology Co., Ltd. ",SARS-CoV-2 Antigen Test Kit (Colloidal Gold) ,N ,"90,0% ","0,0% ","0,0% ","36,0% ",
